,x,y,filename,fringe,rx,ry,angle,cluster,,,filename,,
0.078340094,128,300,06240912_proc_01178.png,9.052052498,84,76,108.6557235,7,,,06240912_proc_,1178,.png
0.078406597,138,295,06240912_proc_01179.png,6.421056271,76,69,104.9608985,7,,,06240912_proc_,1179,.png
0.078606105,121,302,06240912_proc_01182.png,5.43461132,78,75,112.5969475,7,,,06240912_proc_,1182,.png
0.07873911,125,304,06240912_proc_01184.png,8.381920815,89,82,137.464109,7,,,06240912_proc_,1184,.png
0.078938618,137,306,06240912_proc_01187.png,8.000689507,92,84,153.1239279,7,,,06240912_proc_,1187,.png
0.079005121,150,294,06240912_proc_01188.png,7.362403393,89,80,144.3328444,7,,,06240912_proc_,1188,.png
0.079337634,156,291,06240912_proc_01193.png,8.244400978,78,70,101.1118069,7,,,06240912_proc_,1193,.png
0.079470639,150,291,06240912_proc_01195.png,7.498495102,73,64,111.4563401,7,,,06240912_proc_,1195,.png
0.079670147,142,289,06240912_proc_01198.png,6.802625179,74,66,117.5146291,7,,,06240912_proc_,1198,.png
0.07973665,142,296,06240912_proc_01199.png,7.334525108,80,71,90.2298197,7,,,06240912_proc_,1199,.png
0.080401676,125,297,06240912_proc_01209.png,7.528939247,86,75,120.64916,7,,,06240912_proc_,1209,.png
0.080468178,138,295,06240912_proc_01210.png,5.514640808,77,65,119.1381377,7,,,06240912_proc_,1210,.png
0.080534681,149,295,06240912_proc_01211.png,5.419930458,79,65,121.5885774,7,,,06240912_proc_,1211,.png
0.080867194,132,301,06240912_proc_01216.png,8.862449646,89,81,127.8553135,7,,,06240912_proc_,1216,.png
0.081598723,145,289,06240912_proc_01227.png,5.713645935,72,61,115.4775047,7,,,06240912_proc_,1227,.png
0.081997739,136,296,06240912_proc_01233.png,7.00821209,85,72,143.0925469,7,,,06240912_proc_,1233,.png
0.08505686,147,302,06240912_proc_01279.png,7.19544363,83,70,133.0009902,7,,,06240912_proc_,1279,.png
0.087450954,149,298,06240912_proc_01315.png,7.294534206,82,70,109.4163402,7,,,06240912_proc_,1315,.png
