,x,y,filename,fringe,rx,ry,angle,cluster,,,Ares of ellipse,,
0.045022278,200,296,06241902_proc_00677.png,2.987935543,55,47,123.5739187,6,,,8121.01701,677,.png
0.045088781,199,299,06241902_proc_00678.png,2.532818794,49,43,160.332583,6,,,6619.335721,678,.png
0.045155284,199,300,06241902_proc_00679.png,2.178860664,48,42,136.1406096,6,,,6333.45079,679,.png
0.045487797,211,289,06241902_proc_00684.png,1.757359028,51,39,119.2665043,6,,,6248.627788,684,.png
0.045620802,228,296,06241902_proc_00686.png,2.20125699,50,42,115.8969261,6,,,6597.344573,686,.png
0.045687305,236,294,06241902_proc_00687.png,1.973385811,51,45,94.25896878,6,,,7209.95514,687,.png
0.046285828,190,289,06241902_proc_00696.png,2.220465899,56,40,21.16949514,6,,,7037.167544,696,.png
0.046352331,188,291,06241902_proc_00697.png,2.554919958,56,44,11.06828228,6,,,7740.884298,697,.png
0.046817849,222,297,06241902_proc_00704.png,1.160767555,30,26,147.1924362,6,,,2450.44227,704,.png
0.046884352,224,291,06241902_proc_00705.png,1.481956244,36,35,148.5495265,6,,,3958.406744,705,.png
0.046950855,236,293,06241902_proc_00706.png,0.959099293,38,34,155.8834763,6,,,4058.937708,706,.png
0.04734987,200,277,06241902_proc_00712.png,1.538109779,43,37,1.687507517,6,,,4998.273912,712,.png
0.047416373,204,284,06241902_proc_00713.png,1.520329714,45,36,53.93858444,6,,,5089.380099,713,.png
0.048014897,201,302,06241902_proc_00722.png,1.969818115,39,34,148.5334346,6,,,4165.751859,722,.png
0.048147902,225,295,06241902_proc_00724.png,1.84052968,43,40,152.1332943,6,,,5403.539364,724,.png
0.048214404,226,288,06241902_proc_00725.png,1.461483479,41,38,140.7879079,6,,,4894.601354,725,.png
0.048280907,236,287,06241902_proc_00726.png,1.953877926,54,50,157.6042093,6,,,8482.300165,726,.png
0.04861342,218,285,06241902_proc_00731.png,2.061834335,51,43,113.300457,6,,,6889.512689,731,.png
0.048679923,218,293,06241902_proc_00732.png,1.886250019,45,35,178.0228291,6,,,4948.008429,732,.png
0.048746425,205,289,06241902_proc_00733.png,2.459574938,54,45,136.5589655,6,,,7634.070148,733,.png
0.049278446,208,300,06241902_proc_00741.png,1.944531918,46,38,86.70467529,6,,,5491.503958,741,.png
0.049344949,208,302,06241902_proc_00742.png,1.643625259,45,35,116.6238495,6,,,4948.008429,742,.png
0.049544457,237,292,06241902_proc_00745.png,1.568799496,47,43,146.5224152,6,,,6349.158753,745,.png
0.04961096,241,290,06241902_proc_00746.png,1.509022474,43,38,166.3349737,6,,,5133.362396,746,.png
0.049943473,212,281,06241902_proc_00751.png,2.089475632,61,56,64.31900349,6,,,10731.6805,751,.png
0.050009975,209,282,06241902_proc_00752.png,1.827394962,54,44,2.035141948,6,,,7464.424145,752,.png
0.050076478,199,281,06241902_proc_00753.png,2.032108307,55,46,34.7785412,6,,,7948.229414,753,.png
0.050142981,192,283,06241902_proc_00754.png,1.360666752,43,40,29.38646202,6,,,5403.539364,754,.png
0.051273525,211,286,06241902_proc_00771.png,2.691333771,60,48,45.76620846,6,,,9047.786842,771,.png
0.051340028,212,287,06241902_proc_00772.png,1.634654522,45,36,45.08913864,6,,,5089.380099,772,.png
