time,x,y,filename,fringe,rx,ry,angle,cluster,,,Area of ellipse,
0.049145441,364,32,06240913_proc_00739.png,3.696019173,62,43,177.6775506,7,,,8375.486014,739
0.049211944,357,32,06240913_proc_00740.png,3.814088345,60,38,174.6557471,7,,,7162.83125,740
0.049477954,337,15,06240913_proc_00744.png,1.844928265,42,34,2.236031685,7,,,4486.194309,744
0.049544457,348,25,06240913_proc_00745.png,2.685802698,52,41,178.9232381,7,,,6697.875537,745
0.050408991,365,24,06240913_proc_00758.png,2.327517986,51,36,174.334519,7,,,5767.964112,758
0.050808007,356,30,06240913_proc_00764.png,3.996043205,55,40,174.0674245,7,,,6911.503838,764
0.051739044,348,18,06240913_proc_00778.png,4.441253662,63,43,174.0475499,7,,,8510.574499,778
0.052071557,353,21,06240913_proc_00783.png,3.691263437,55,36,171.5808971,7,,,6220.353454,783
0.053335107,352,22,06240913_proc_00802.png,3.364444256,48,36,172.2768336,7,,,5428.672105,802
0.05393363,356,24,06240913_proc_00811.png,3.815635681,58,40,165.2200119,7,,,7288.494956,811
0.054000133,356,16,06240913_proc_00812.png,3.744764805,54,37,169.7379806,7,,,6276.902122,812
0.05493117,359,29,06240913_proc_00826.png,3.536010742,55,36,167.5191595,7,,,6220.353454,826
0.057192259,349,23,06240913_proc_00860.png,3.492811203,52,33,166.5304059,7,,,5390.972994,860
0.057524772,359,21,06240913_proc_00865.png,2.807663202,51,35,175.7248454,7,,,5607.742887,865
0.058455809,339,22,06240913_proc_00879.png,2.924911022,52,35,176.5284836,7,,,5717.69863,879
0.060051872,348,20,06240913_proc_00903.png,3.900291204,56,39,175.8967079,7,,,6861.238355,903
0.060118375,350,20,06240913_proc_00904.png,4.230463505,53,40,168.791797,7,,,6660.176426,904
0.062246459,346,15,06240913_proc_00936.png,3.392384529,51,35,176.7332025,7,,,5607.742887,936
0.062312961,346,22,06240913_proc_00937.png,3.786122084,59,37,168.6751878,7,,,6858.096763,937
0.063310501,355,21,06240913_proc_00952.png,3.700274467,56,33,174.5963927,7,,,5805.663224,952
0.063576511,339,23,06240913_proc_00956.png,2.721678972,52,31,176.8989981,7,,,5064.247358,956
0.064906564,351,25,06240913_proc_00976.png,3.30862093,55,33,1.077018486,7,,,5701.990666,976
0.066502627,361,23,06240913_proc_01000.png,3.647898912,53,31,171.3261925,7,,,5161.63673,1000
0.066768637,348,22,06240913_proc_01004.png,3.053415775,53,38,165.0369082,7,,,6327.167604,1004
